Ammo	Fuel	Life		Ships	Str	Life		Score
10	15	3		0	0	1		0.0278839644970414201183431952
10	15	3		0	0	1		0.0557679289940828402366863904
10	15	3		0	0	1		0.0836518934911242603550295856
10	15	3		0	0	1		0.1115358579881656804733727808
10	15	3		0	0	1		0.1394198224852071005917159760
10	15	3		0	0	1		0.1673037869822485207100591712
10	15	3		0	0	1		0.1951877514792899408284023664
10	15	3		0	0	1		0.2230717159763313609467455616
10	15	3		0	0	1		0.2509556804733727810650887568
10	15	3		0	0	1		0.2788396449704142011834319520
10	15	3		0	0	1		0.3067236094674556213017751472
10	15	3		0	0	1		0.3346075739644970414201183424
10	15	3		0	0	1		0.3624915384615384615384615376
10	15	3		0	0	1		0.3903755029585798816568047328
10	15	3		0	0	1		0.4182594674556213017751479280
10	15	3		0	0	1		0.4461434319526627218934911232
10	15	3		0	0	1		0.4740273964497041420118343184
10	15	3		0	0	1		0.5019113609467455621301775136
10	15	3		0	0	1		0.5297953254437869822485207088
10	15	3		0	0	1		0.5576792899408284023668639040
10	15	3		0	0	1		0.5855632544378698224852070992
10	15	3		0	0	1		0.6134472189349112426035502944
10	15	3		0	0	1		0.6413311834319526627218934896
10	15	3		0	0	1		0.6692151479289940828402366848
9	15	3		0	0	1		0.6970991124260355029585798800
9	15	3		0	0	1		40.315954828141836640711537565
9	15	3		0	0	1		40.343838792638878060829880760
9	15	3		0	0	1		40.371722757135919480948223955
9	15	3		0	0	1		40.399606721632960901066567150
9	15	3		0	0	1		40.427490686130002321184910345
9	15	3		0	0	1		40.455374650627043741303253540
9	15	3		0	0	1		40.483258615124085161421596735
9	15	3		0	0	1		40.511142579621126581539939930
9	15	3		0	0	1		40.539026544118168001658283125
9	15	3		0	0	1		40.566910508615209421776626320
9	15	3		0	0	1		40.594794473112250841894969515
9	15	3		0	0	1		40.622678437609292262013312710
9	15	3		0	0	1		40.650562402106333682131655905
9	15	3		0	0	1		40.678446366603375102249999100
9	15	3		0	0	1		40.706330331100416522368342295
9	15	3		0	0	1		40.734214295597457942486685490
9	15	3		0	0	1		40.762098260094499362605028685
9	15	3		0	0	1		40.789982224591540782723371880
9	15	3		0	0	1		40.817866189088582202841715075
9	15	3		0	0	1		40.845750153585623622960058270
9	15	3		0	0	1		40.873634118082665043078401465
9	15	3		0	0	1		40.901518082579706463196744660
9	15	3		0	0	1		40.929402047076747883315087855
9	15	3		0	0	1		40.957286011573789303433431050
9	15	3		0	0	1		40.985169976070830723551774245
9	15	3		0	0	1		41.013053940567872143670117440
9	15	3		0	0	1		41.040937905064913563788460635
9	15	3		0	0	1		41.068821869561954983906803830
9	15	3		0	0	1		41.096705834058996404025147025
9	15	3		0	0	1		41.124589798556037824143490220
9	15	3		0	0	1		41.152473763053079244261833415
9	15	3		0	0	1		41.180357727550120664380176610
9	15	3		0	0	1		41.208241692047162084498519805
9	14.99758	3		0	0	1		41.259313615124085161421596728
9	14.9752	3		0	0	1		41.310372047076747883315087852
9	14.96303	3		0	0	1		41.361423126958404688048815662
9	14.96206	3		0	0	1		41.412473615124085161421596727
9	14.94911	3		0	0	1		41.463516277845978652545857082
9	14.93378	3		0	0	1		41.514549680212842557871300869
9	14.93209	3		0	0	1		41.565582061869647291599111520
9	14.93116	3		0	0	1		41.616613881396274510534022762
9	14.92337	3		0	0	1		41.667640981987990486865383709
9	14.91169	3		0	0	1		41.718661026366688711717454715
9	14.90382	3		0	0	1		41.769676307431777469113904419
9	14.8913	3		0	0	1		41.820684014532369185090235780
9	14.86361	3		0	0	1		41.871674931692132498699703235
9	14.86291	3		0	0	1		41.922665434650712380356507968
9	14.86112	3		0	0	1		41.973654842934736048995561222
9	14.839	3		0	0	1		42.024630834058996404025147021
9	14.83606	3		0	0	1		42.075605035242428356687868914
9	14.79943	3		0	0	1		42.126557002698049658463016843
9	14.75012	3		0	0	1		42.177478955360771551954141103
9	14.73867	3		0	0	1		42.228393925774972735386093766
9	14.73816	3		0	0	1		42.279308585538286344853549387
9	14.68274	3		0	0	1		42.330189443526452025326922168
9	14.67878	3		0	0	1		42.381067875479114747220413292
9	14.67589	3		0	0	1		42.431944547076747883315087848
9	14.67074	3		0	0	1		42.482818067786807054912720984
9	14.66976	3		0	0	1		42.533690996780889895149407374
9	14.65896	3		0	0	1		42.584557313348937232427513883
9	14.65262	3		0	0	1		42.635419754177339599291419208
9	14.65161	3		0	0	1		42.686281573703966818226330450
9	14.65072	3		0	0	1		42.737142860686215338936389621
9	14.64662	3		0	0	1		42.788001632875564451362425124
9	14.63903	3		0	0	1		42.838855760094499362605028674
9	14.62417	3		0	0	1		42.889700789680298179173076011
9	14.603	3		0	0	1		42.940532845893315930652365952
9	14.60096	3		0	0	1		42.991363659502783386273667727
9	14.5719	3		0	0	1		43.042176647668463859646448792
9	14.5682	3		0	0	1		43.092987357727635457279584886
